Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP (current US$) [NY.GDP.MKTP.CD],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",Gini index [SI.POV.GINI],Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
2017-12-31,YR2017,Sweden,SWE,53791.5087298403,541018749769.097,51947.9542478244,522476835542.435,28.8,0.2,6.72,38291.8,3.80721314161551
2017-12-31,YR2017,Spain,ESP,28185.3213671969,1313245330197.65,39528.9253872668,1841780549395.31,34.7,0.7,17.22,263450.5,5.65426492377563
2018-12-31,YR2018,China,CHN,9905.34200388822,13894817549374.2,15495.548422109,21736535504597.6,38.5,0.4,4.31,10502930,7.48733211668425
2018-12-31,YR2018,United States,USA,62823.309438197,20533057312000,62805.2537579917,20527156026000,41.4,1,3.9,4975307,15.2225382933284
2018-12-31,YR2018,United Kingdom,GBR,43306.3083049317,2878152147315.82,47573.4880155177,3161750378791.18,33.7,0.5,4,360734.7,5.42781873051996
2018-12-31,YR2018,Sweden,SWE,54589.0603860606,555455371487.089,53521.6306428288,544594045419.741,30,0.7,6.36,36013.1,3.53929656909427
2018-12-31,YR2018,Spain,ESP,30379.7211126422,1421702715218.04,40696.3876815487,1904499539409.75,34.7,0.8,15.25,257042.8,5.49263112071575
2019-12-31,YR2019,China,CHN,10143.8381955585,14279937500606.5,16652.0988008463,23441908826397.3,38.2,0.1,4.56,10707220,7.60593715481142
2019-12-31,YR2019,United States,USA,65120.3946628653,21380976119000,65094.7994287929,21372572437000,41.5,1,3.67,4817719,14.6734069066187
2019-12-31,YR2019,United Kingdom,GBR,42747.080460496,2857057847953.02,49661.6038559645,3319199194661.7,32.8,0.5,3.74,348921.9,5.22054271474254
2019-12-31,YR2019,Sweden,SWE,51939.4297445291,533879529188.454,56404.3002044523,579773428115.642,29.3,0.3,6.83,35001.7,3.40520330654476
2019-12-31,YR2019,Spain,ESP,29581.5185513299,1394320055129.41,43069.3810950049,2030068257603.94,34.3,0.8,14.1,239977.8,5.09130433611131
2020-12-31,YR2020,China,CHN,10408.6697561349,14687673892882,17189.2817942534,24255795539871,37,0.5,5,..,..
2020-12-31,YR2020,United States,USA,63530.633483909,21060473613000,63027.6795267153,20893743833000,39.7,0.2,8.05,..,..
2020-12-31,YR2020,United Kingdom,GBR,40318.5575660493,2704609160088.15,46759.0825582866,3136646017092.42,32.6,0.5,4.472,..,..
2020-12-31,YR2020,Sweden,SWE,52837.9039778149,547054174235.876,55569.2456624211,575332961949.628,28.9,0.4,8.29,..,..
2020-12-31,YR2020,Spain,ESP,26959.6754367326,1276962685648.25,38122.5519730773,1805699644476.35,34.9,0.9,15.53,..,..
