Stock,Date,Open,High,Low,Close,Adj Close,Volume
ASAZF,2010-01-01,6.333333,6.583333,6.333333,6.583333,0.811921,1350
ASAZF,2010-02-01,6.583333,6.583333,6.033333,6.166666,0.760534,35565
ASAZF,2010-03-01,6.166666,6.8,6.166666,6.393333,0.788488,4800
ASAZF,2010-04-01,6.393333,7,6.333333,7,0.863309,4539
ASAZF,2010-05-01,6.333333,7.75,6.333333,7.75,1.0157,750
ASAZF,2010-06-01,7.75,7.75,6.333333,7.366666,0.965461,600
ASAZF,2010-07-01,7.366666,7.483333,7.366666,7.483333,0.980751,5079
ASAZF,2010-08-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2010-09-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2010-10-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2010-11-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2010-12-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2011-01-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2011-02-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2011-03-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2011-04-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2011-05-01,7.483333,7.483333,7.483333,7.483333,0.980751,0
ASAZF,2011-06-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2011-07-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2011-08-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2011-09-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2011-10-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2011-11-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2011-12-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2012-01-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2012-02-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2012-03-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2012-04-01,7.483333,7.483333,7.483333,7.483333,1.19338,0
ASAZF,2012-05-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-06-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-07-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-08-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-09-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-10-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-11-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2012-12-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2013-01-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2013-02-01,7.483333,7.483333,7.483333,7.483333,1.492556,0
ASAZF,2013-03-01,7.483333,13.326666,7.483333,13.326666,2.658013,345
ASAZF,2013-04-01,13.326666,13.326666,13.326666,13.326666,2.658013,0
ASAZF,2013-05-01,13.326666,13.366666,13.326666,13.366666,3.0558,399
ASAZF,2013-06-01,13.366666,13.366666,13.366666,13.366666,3.0558,0
ASAZF,2013-07-01,13.366666,14.45,13.366666,14.45,3.303465,2556
ASAZF,2013-08-01,14.566666,14.846666,14.2,14.25,3.257742,8184
ASAZF,2013-09-01,14.25,15.823333,14.25,15.363333,3.512265,16164
ASAZF,2013-10-01,15.363333,16.549999,15.153333,16.549999,3.783553,11808
ASAZF,2013-11-01,16.549999,17.006666,16.243334,17.006666,3.887954,21504
ASAZF,2013-12-01,16.953333,17.723333,16.263332,17.723333,4.051793,68559
ASAZF,2014-01-01,17.723333,17.879999,16.763332,16.776667,3.835372,26283
ASAZF,2014-02-01,16.776667,17.473333,16.776667,16.940001,3.872712,9033
ASAZF,2014-03-01,16.940001,17.793333,16.896666,17.793333,4.067796,26439
ASAZF,2014-04-01,18.017065,18.023333,16.893333,17.546665,4.011405,42684
ASAZF,2014-05-01,17.546665,17.73,16.823334,17.133966,3.917057,11238
ASAZF,2014-06-01,17.133966,17.133966,16.516666,16.516666,4.233217,25659
ASAZF,2014-07-01,17.27,17.326666,16.49,16.49,4.226382,9573
ASAZF,2014-08-01,16.49,16.745466,16.366667,16.745466,4.291859,22041
ASAZF,2014-09-01,16.745466,17.49,16.743334,17.299999,4.433985,27129
ASAZF,2014-10-01,17.299999,17.84,15.616666,17.686666,4.533088,22614
ASAZF,2014-11-01,17.686666,18.43,17.433332,18.43,4.723604,24126
ASAZF,2014-12-01,18.43,18.43,17.333332,17.693333,4.534796,8157
ASAZF,2015-01-01,17.693333,18.25,17.313334,18.213333,4.668072,7467
ASAZF,2015-02-01,18.093332,19.280001,18.093332,19.280001,4.941459,14745
ASAZF,2015-03-01,19.280001,19.943333,18.700001,19.766666,5.066191,5487
ASAZF,2015-04-01,19.766666,20.866667,19.766666,20.809999,5.333597,21369
ASAZF,2015-05-01,20.809999,20.809999,19.34,19.776667,5.068754,22776
ASAZF,2015-06-01,19.916666,59.360001,19.786667,59.360001,16.982069,915
ASAZF,2015-07-01,59.360001,59.360001,17.799999,20.360001,5.824711,10572
ASAZF,2015-08-01,20.48,20.48,18.33,18.927,5.414751,4461
ASAZF,2015-09-01,18.927,19.6,18.09,18.09,5.175296,1596
ASAZF,2015-10-01,18.09,18.9,17.799999,18.9,5.407026,4920
